windows_min_Under Waves,windows_min_Under Waves,windows_req_Under Waves,windows_req_Under Waves
сеть,широкополосное подключение,диск,2 gb,диск,2 gb
,,,,,
windows_min_Wanted! Monty Mole,windows_min_Wanted! Monty Mole
оперативная память,40 mb
,
windows_min_Boss Hunter,windows_min_Boss Hunter
операционная система,windows 11
процессор,intel core i5
оперативная память,16 mb
видео карта,intel iris plus
,
windows_min_Omega Squad,windows_min_Omega Squad,windows_req_Omega Squad,windows_req_Omega Squad
операционная система,windows 7 (sp1+) and windows 10,операционная система,windows 7 (sp1+) and windows 10
процессор,"x86, x64 architecture with sse2 instruction set support.",процессор,"x86, x64 architecture with sse2 instruction set support."
видео карта,"dx10, dx11, dx12 capable.",видео карта,"dx10, dx11, dx12 capable."
,,,
windows_min_Psychoscopy,windows_min_Psychoscopy,windows_req_Psychoscopy,windows_req_Psychoscopy
операционная система,windows 10 64bit,операционная система,windows 10 64bit
процессор,amd ryzen 5 1600 / intel core i5-4690k,процессор,amd ryzen 5 1600 / intel core i5-4690k
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 1050ti / amd radeon r9 280x,видео карта,nvidia gtx 1050ti / amd radeon r9 280x
диск,15 gb,диск,15 gb
,,,
windows_min_S:Open Road First Front S,windows_min_S:Open Road First Front S
операционная система,windows 7 / windows 8 / windows 10
процессор,2.50ghz
оперативная память,500 mb mb
видео карта,hd4400
directx,version 11
диск, 500 mb  mb
звуковая карта,phl 223v5
,
windows_min_Death Below,windows_min_Death Below,windows_req_Death Below,windows_req_Death Below
операционная система,windows 7 / 8.1 / 10,операционная система,windows 7 / 8.1 / 10
процессор,core-i5,процессор,core-i7
оперативная память,8 gb,оперативная память,12 gb
видео карта,nvidia geforce gtx 1060 or amd rx 570,видео карта,nvidia geforce gtx 1070
directx,version 11,directx,version 11
,,,
windows_min_Maelstrom,windows_min_Maelstrom,windows_req_Maelstrom,windows_req_Maelstrom
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5-2300 |; amd fx-4350,процессор,intel core i5-8400 |; amd ryzen 5 2600x
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gts 450 |; amd radeon hd 5750,видео карта,"nvidia geforce gtx 660, 2 gb | amd radeon hd 7870, 2 gb"
,,,
windows_min_Mea,windows_min_Mea,windows_req_Mea,windows_req_Mea
операционная система,windows10,операционная система,windows10
процессор,intel core i5,процессор,intel core i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 750ti,видео карта,nvidia geforce gtx 1660ti
directx,version 11,directx,version 11
,,,
