windows_min_Planet Nomads,windows_min_Planet Nomads,windows_req_Planet Nomads,windows_req_Planet Nomads,macos_min_Planet Nomads,macos_min_Planet Nomads,macos_req_Planet Nomads,macos_req_Planet Nomads,linux_min_Planet Nomads,linux_min_Planet Nomads,linux_req_Planet Nomads,linux_req_Planet Nomads
диск,1 gb,диск,1 gb,дополнительно,4:3 and 21:9 screen ratio supported,дополнительно,4:3 and 21:9 screen ratio supported,дополнительно,4:3 and 21:9 screen ratio supported,дополнительно,4:3 and 21:9 screen ratio supported
,,,,,,,,,,,
windows_min_God of War,windows_min_God of War,windows_req_God of War,windows_req_God of War
операционная система,windows 10,операционная система,windows 10
процессор,intel i5-2500k (4 core 3.3 ghz) or amd ryzen 3 1200 (4 core 3.1 ghz),процессор,intel i5-6600k (4 core 3.5 ghz) or amd ryzen 5 2400 g (4 core 3.6 ghz)
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 960 (4 gb) or amd r9 290x (4 gb),видео карта,nvidia gtx 1060 (6 gb) or amd rx 570 (4 gb)
directx,version 11,directx,version 11
диск,70 gb,диск,70 gb
,,,
windows_min_Dead Effect 2,windows_min_Dead Effect 2,windows_req_Dead Effect 2,windows_req_Dead Effect 2
операционная система,10.6,операционная система,10.9
процессор,2.4 ghz dual core cpu,процессор,3.0 ghz quad core cpu or faster
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia 9800m gts |; radeon hd 6770m,видео карта,nvidia gt 650m or 750m (strongly recommended)
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,11 gb,диск,11 gb
звуковая карта,openal compatible,звуковая карта,openal compatible
,,,
windows_min_Hentai Nazi,windows_min_Hentai Nazi
операционная система,windows 7/8/10
процессор,2.0 ghz dual core
оперативная память,4 gb
видео карта,directx compatible 1024 vram
диск,432 mb
,
windows_min_Enforcer: Police Crime Action,windows_min_Enforcer: Police Crime Action
операционная система,os x 10.7 and above
процессор,intel core i3 2ghz
оперативная память,4 gb
видео карта,dedicated graphics card with 512 mb memory
directx,version 9.0
,
windows_min_Battle Royale Trainer,windows_min_Battle Royale Trainer
операционная система,"windows 7, 8, 10"
процессор,intel core i3-4340 / amd fx-6300
оперативная память,6 gb
видео карта,nvidia geforce gtx 660 2gb / amd radeon hd 7850 2gb
directx,version 10
,
windows_min_STRAFE: Gold Edition,windows_min_STRAFE: Gold Edition,windows_req_STRAFE: Gold Edition,windows_req_STRAFE: Gold Edition,macos_min_STRAFE: Gold Edition,macos_min_STRAFE: Gold Edition,macos_req_STRAFE: Gold Edition,macos_req_STRAFE: Gold Edition,linux_min_STRAFE: Gold Edition,linux_min_STRAFE: Gold Edition,linux_req_STRAFE: Gold Edition,linux_req_STRAFE: Gold Edition
операционная система,windows 7,операционная система,windows 7,операционная система,mac os x 10.8,операционная система,—,операционная система,ubuntu 12.04,операционная система,—
процессор,intel pentium g3250 (2 * 3200) amd phenom ii x4 965 (4 * 3400),процессор,intel core i3-4160 (2 * 3600) amd fx-6350 (6 * 3900),,,,,,,,
оперативная память,4 gb,оперативная память,8 gb,,,,,,,,
видео карта,nvidia geforce 9800 gt (1024 mb) |; intel hd graphics 4600 (shared memory) | amd radeon hd 5770 (1024 mb),видео карта,nvidia geforce gtx 460 (1024 mb) amd radeon r7 260x (2048 mb),,,,,,,,
диск,3 gb,диск,3 gb,,,,,,,,
,,,,,,,,,,,
"windows_min_10,000,000","windows_min_10,000,000","windows_req_10,000,000","windows_req_10,000,000","macos_min_10,000,000","macos_min_10,000,000","macos_req_10,000,000","macos_req_10,000,000","linux_min_10,000,000","linux_min_10,000,000","linux_req_10,000,000","linux_req_10,000,000"
операционная система,windows xp,операционная система,windows 7,операционная система,osx 10.5,операционная система,osx 10.8,операционная система,ubuntu 12.04 32-bit or ubuntu 12.10 32-bit,операционная система,—
процессор,core2duo,процессор,core2duo,оперативная память,1 gb,оперативная память,2 gb,процессор,2.6ghz single core,процессор,—
оперативная память,1 gb,оперативная память,2 gb,видео карта,any 3d capable card,видео карта,any 3d capable card,оперативная память,1 gb,оперативная память,—
видео карта,any 3d capable card,видео карта,any 3d capable card,диск,50 mb hd space,диск,1 gb hd space,видео карта,opengl 2.0 compatible video card with 256 mb shared or dedicated (ati or nvidia),видео карта,—
directx,9.0c,directx,9.0c,процессор,—,процессор,intel,диск,50 mb hd space,диск,—
,,,,,,,,,,,
windows_min_DRIFT21,windows_min_DRIFT21,windows_req_DRIFT21,windows_req_DRIFT21
операционная система,windows 7 sp2,операционная система,windows 10
процессор,i5,процессор,i5
оперативная память,8 gb,оперативная память,8 gb
видео карта,970,видео карта,1060
directx,version 11,directx,version 11
,,,
windows_min_La-Mulana,windows_min_La-Mulana
операционная система,os x 10.11(el capitan) or higher
процессор,—
оперативная память,—
видео карта,—
directx,9.0c
диск,500 mb
,
windows_min_Full Metal Furies,windows_min_Full Metal Furies,windows_req_Full Metal Furies,windows_req_Full Metal Furies,macos_min_Full Metal Furies,macos_min_Full Metal Furies,macos_req_Full Metal Furies,macos_req_Full Metal Furies,linux_min_Full Metal Furies,linux_min_Full Metal Furies,linux_req_Full Metal Furies,linux_req_Full Metal Furies
операционная система,windows 7,операционная система,windows 10,операционная система,10.9.5 mavericks,операционная система,latest macos release,операционная система,"glibc 2.17+, 32/",операционная система,glibc 2.17+
процессор,2.0 ghz,процессор,2.4 ghz,процессор,2.0 ghz,процессор,2.4 ghz,процессор,2.0 ghz,процессор,2.4 ghz
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 mb,оперативная память,2 mb,оперативная память,2 mb,оперативная память,2 mb
видео карта,"8800 gts, hd 2900 pro, intel hd 530",видео карта,"gtx 285, hd 6850, intel iris 6200",видео карта,"8800 gts, hd 2900 pro, intel hd 530",видео карта,"gtx 285, hd 6850, intel iris 6200",видео карта,"8800 gts, hd 2900 pro, intel hd 530",видео карта,"gtx 285, hd 6850, intel iris 6200"
directx,version 9.0,directx,version 9.0,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,900 mb,диск,900 mb,диск,900 mb,диск,900 mb
,,,,,,,,,,,
windows_min_Hitman: Contracts,windows_min_Hitman: Contracts
операционная система,windows 98/2000/me/xp
процессор,pentium iii 800mhz
оперативная память,256 mb
видео карта,100% directx 8.1 compatible 3d accelerator video card with at least 32mb
directx,version 8.1
,
windows_min_HellSign,windows_min_HellSign
операционная система,mac os x
процессор,1.4 ghz dual core cpu
оперативная память,2 gb
видео карта,512 mb
directx,version 9.0
диск,2 gb
,
windows_min_LOST PLANET® 3,windows_min_LOST PLANET® 3,windows_req_LOST PLANET® 3,windows_req_LOST PLANET® 3
операционная система,windows xp,операционная система,windows 7
процессор,dual core cpu 2.5 ghz,процессор,quad core 2.7 ghz
оперативная память,3 gb,оперативная память,8 gb
видео карта,"nvidia geforce 9800, ati radeon™ hd 4770",видео карта,nvidia geforce gtx 460
диск,16 gb,диск,16 gb
,,,
windows_min_Thymesia,windows_min_Thymesia,windows_req_Thymesia,windows_req_Thymesia
операционная система,windows 10 (),операционная система,windows 10 ()
процессор,intel core i5 or amd ryzen 5,процессор,intel core i7 or amd ryzen 7
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 950 or radeon hd 7970,видео карта,nvidia geforce gtx 1060 or amd radeon rx 580
directx,version 12,directx,version 12
,,,
windows_min_Indivisible,windows_min_Indivisible,windows_req_Indivisible,windows_req_Indivisible,macos_min_Indivisible,macos_min_Indivisible,macos_req_Indivisible,macos_req_Indivisible,linux_min_Indivisible,linux_min_Indivisible,linux_req_Indivisible,linux_req_Indivisible
операционная система,windows 7,операционная система,windows 10,операционная система,yosemite 10.10.4,операционная система,—,операционная система,ubuntu 18.04,операционная система,—
процессор,intel core i3-2100,процессор,core i5-3470,процессор,dual-core cpu,процессор,—,процессор,intel core i3-2100,процессор,—
оперативная память,6 gb,оперативная память,8 gb,оперативная память,6 gb,оперативная память,—,оперативная память,8 gb,оперативная память,—
видео карта,geforce gtx 560,видео карта,geforce gtx 670,видео карта,"geforce gt 750m, opengl 3.3 core",видео карта,—,видео карта,"geforce gtx 560, opengl 3.3 core",видео карта,—
диск,6 gb,диск,—,диск,6 gb,диск,—,диск,6 gb,диск,—
,,,,,,,,,,,
windows_min_Star Saviors,windows_min_Star Saviors
операционная система,ubuntu 14.04
процессор,1.8 ghz
оперативная память,1 gb
видео карта,nvidia geforce 8600 gts or intel hd 3000
directx,version 9.0c
,
"windows_min_Warhammer 40,000: Regicide","windows_min_Warhammer 40,000: Regicide"
операционная система,windows 7
процессор,2.4 ghz dual core (2.4 ghz)
оперативная память,3 gb
видео карта,nvidia geforce 8600 gt / ati radeon hd 2600 xt
directx,version 9.0c
сеть,широкополосное подключение
диск,5 gb
звуковая карта,directx compatible
,
windows_min_Nexomon: Extinction,windows_min_Nexomon: Extinction,windows_req_Nexomon: Extinction,windows_req_Nexomon: Extinction
операционная система,10.12+,операционная система,10.12+
видео карта,open gl 3.2+ compliant,видео карта,open gl 3.2+ compliant
,,,
windows_min_Emergency Call 112 – The Fire Fighting Simulation 2,windows_min_Emergency Call 112 – The Fire Fighting Simulation 2
операционная система,windows 10
процессор,amd ryzen 3 1500x / intel i5-6600k
оперативная память,8 gb
видео карта,"gpu with 4 gb vram, nvidia geforce gtx 1060 (4 gb) or amd radeon rx 560 (6gb) (no support of onboard graphic card)"
directx,version 11
диск,20 gb
,
windows_min_Timespinner,windows_min_Timespinner,macos_min_Timespinner,macos_min_Timespinner,linux_min_Timespinner,linux_min_Timespinner
операционная система,windows xp,операционная система,lion 10.7.5,операционная система,"glibc 2.15+, 32/"
процессор,dual core,процессор,dual core,процессор,dual core
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,"directx 9.0c compatible, pixelshader & vertex shader 1.1",видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable),видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable)
directx,version 9.0,диск,400 mb,диск,415 mb
диск,400 mb,дополнительно,sdl_gamecontroller devices fully supported,дополнительно,sdl_gamecontroller devices fully supported
,,,,,
windows_min_Turok 2: Seeds of Evil,windows_min_Turok 2: Seeds of Evil,windows_req_Turok 2: Seeds of Evil,windows_req_Turok 2: Seeds of Evil,macos_min_Turok 2: Seeds of Evil,macos_min_Turok 2: Seeds of Evil,macos_req_Turok 2: Seeds of Evil,macos_req_Turok 2: Seeds of Evil,linux_min_Turok 2: Seeds of Evil,linux_min_Turok 2: Seeds of Evil,linux_req_Turok 2: Seeds of Evil,linux_req_Turok 2: Seeds of Evil
операционная система,windows 7,операционная система,windows 10,операционная система,mac os x 10.9,операционная система,mac os x 10.11+,операционная система,ubuntu 12.04,операционная система,ubuntu 16.04
процессор,intel or amd dual-core at 2.0 ghz,процессор,intel core i5-2300 2.8 ghz/amd phenom ii x4 945 3.0 ghz,процессор,intel or amd dual-core at 2.0 ghz,процессор,intel core i5-2300 2.8 ghz/amd phenom ii x4 945 3.0 ghz,процессор,intel or amd dual-core at 2.0 ghz,процессор,intel core i5-2300 2.8 ghz/amd phenom ii x4 945 3.0 ghz
оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb
видео карта,gpu with opengl 3.2 or directx 10 support,видео карта,—,видео карта,intel 787 express supporting opengl 2.1 core,видео карта,"nvidia geforce 7800 / 7900/8600 series, ati/amd radeon hd 2600/3600 or x1800/x1900 series supporting opengl 2.1 core",видео карта,intel 787 express supporting opengl 2.1 core,видео карта,"nvidia geforce 7800 / 7900/8600 series, ati/amd radeon hd 2600/3600 or x1800/x1900 series supporting opengl 2.1 core"
диск,1 gb,диск,1 gb,диск,1 gb,диск,1 gb,диск,1 gb,диск,1 gb
звуковая карта,100% directx compatible sound card or onboard sound,звуковая карта,100% directx compatible sound card or onboard sound,дополнительно,only. 32-bit not supported.,дополнительно,only. 32-bit not supported.,дополнительно,only. 32-bit not supported.,дополнительно,only. 32-bit not supported.
,,,,,,,,,,,
windows_min_BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,windows_min_BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,windows_req_BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,windows_req_BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,macos_min_BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,macos_min_BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,macos_req_BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,macos_req_BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,linux_min_BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,linux_min_BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,linux_req_BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,linux_req_BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien
