windows_min_Bed Lying Simulator 2020,windows_min_Bed Lying Simulator 2020
операционна€ система,win 7/8.1/10 (64bit)
процессор,i7
оперативна€ пам€ть,8 gb
видео карта,gtx 660
directx,version 12
,
windows_min_Borderlands 2: Gunzerker Domination Pack,windows_min_Borderlands 2: Gunzerker Domination Pack,windows_req_Borderlands 2: Gunzerker Domination Pack,windows_req_Borderlands 2: Gunzerker Domination Pack
операционна€ система,os x 10.6
процессор,1.8 ghz pentium 4
оперативна€ пам€ть,1 gb
видео карта,1280 x 720
directx,version 9.0
,
windows_min_Rage: The ScorchersЩ,windows_min_Rage: The ScorchersЩ,windows_req_Rage: The ScorchersЩ,windows_req_Rage: The ScorchersЩ
операционна€ система,"win xp sp3, vista, win 7",операционна€ система,"win xp sp3, vista, win 7"
процессор,intel core 2 duo amd,процессор,intel core 2 quad amd
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,"geforce 8800, radeon hd 4200",видео карта,"geforce 9800 gtx, radeon hd 5550"
,,,
windows_min_Orc Towers VR,windows_min_Orc Towers VR,windows_req_Orc Towers VR,windows_req_Orc Towers VR
операционна€ система,windows 10,операционна€ система,windows 10
процессор,intel i5 - 3570k,процессор,intel i7
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,16 gb
видео карта,gtx 970,видео карта,gtx 1060
directx,version 11,directx,version 11
,,,
windows_min_STAR BARON Ц VR BEAST COMBAT GAME,windows_min_STAR BARON Ц VR BEAST COMBAT GAME,windows_req_STAR BARON Ц VR BEAST COMBAT GAME,windows_req_STAR BARON Ц VR BEAST COMBAT GAME
операционна€ система,windows 10,операционна€ система,windows 10
процессор,3.3 ghz,процессор,3.69 ghz
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,16 gb
видео карта,nvidia geforce gtx 1060,видео карта,nvidia geforce gtx 1080
directx,version 12,directx,version 12
,,,
windows_min_The Lost VR,windows_min_The Lost VR,windows_req_The Lost VR,windows_req_The Lost VR
операционна€ система,windows,операционна€ система,windows
процессор,intel i5-4590 (amd fx 8350),процессор,intel i7 6700k
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,16 gb
видео карта,"nvidia geforce gtx 970, amd radeon r9 290",видео карта,nvidia geforce gtx 1070
directx,version 11,directx,version 11
диск,4 gb,диск,4 gb
,,,
windows_min_Project Zero Deaths,windows_min_Project Zero Deaths
операционна€ система,mac os x 10.11
процессор,sse2 instruction set support
оперативна€ пам€ть,2 gb
видео карта,nvidia or amd graphics card
directx,version 10
сеть,широкополосное подключение
,
windows_min_MechWarrior OnlineЩ Solaris 7 Hero Pack,windows_min_MechWarrior OnlineЩ Solaris 7 Hero Pack,windows_req_MechWarrior OnlineЩ Solaris 7 Hero Pack,windows_req_MechWarrior OnlineЩ Solaris 7 Hero Pack
операционна€ система,windows 7,операционна€ система,windows 10
процессор,intel: core 2 duo e7300 @ 2.66 ghz / amd: athlon 64 x2 6400+ @ 3.2ghz,процессор,intel: core i5-3470 @ 3.20 ghz / amd: fx-6300 @ 3.5 ghz
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 mb
видео карта,nvidia: 8800 gt / amd: radeon hd 5670,видео карта,nvidia: geforce gtx 660 / amd: radeon hd 7870
directx,version 9.0c,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,16 gb,диск,45 gb
,,,
windows_min_Clockwork,windows_min_Clockwork
операционна€ система,mac os x 10.10 yosemite
процессор,intel core i5 2.8ghz dual-core
оперативна€ пам€ть,4 gb
видео карта,intel iris pro graphics 6200
directx,version 9.0
,
windows_min_HITMANЩ†2 - Hawke's†Bay,windows_min_HITMANЩ†2 - Hawke's†Bay,windows_req_HITMANЩ†2 - Hawke's†Bay,windows_req_HITMANЩ†2 - Hawke's†Bay
операционна€ система,os windows 7,операционна€ система,os windows 7 / windows 8 (8.1) or windows 10
процессор,intel cpu core i5-2500k 3.3ghz / amd cpu phenom ii x4 940,процессор,intel cpu core i7 4790 4 ghz
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,16 gb
видео карта,nvidia geforce gtx 660 / radeon hd 7870,видео карта,nvidia gpu geforce gtx 1070 / amd gpu radeon rx vega 56 8gb
directx,version 11,directx,version 11
,,,
windows_min_Alien Hallway 2,windows_min_Alien Hallway 2
операционна€ система,"windows 7 (service pack 1), 8, 10"
процессор,intel core 2 duo t5200 @1.6ghz / amd athlon 64 x2 3600+ @2000mhz
видео карта,512 mb video card
,
windows_min_AssassinТs CreedЃ IV Black FlagЩ - Time saver: Collectibles Pack,windows_min_AssassinТs CreedЃ IV Black FlagЩ - Time saver: Collectibles Pack,windows_req_AssassinТs CreedЃ IV Black FlagЩ - Time saver: Collectibles Pack,windows_req_AssassinТs CreedЃ IV Black FlagЩ - Time saver: Collectibles Pack
операционна€ система,windows vista sp2 or windows 7 sp1 or windows 8 (both 32/64bit versions),операционна€ система,windows vista sp2 or windows 7 sp1 or windows 8 (both 32/64bit versions)
процессор,intel core2quad q8400 @ 2.6 ghz or amd athlon ii x4 620 @ 2.6 ghz,процессор,intel core i5 2400s @ 2.5 ghz or amd phenom ii x4 940 @ 3.0 ghz
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,nvidia geforce gtx 260 or amd radeon hd 4870 (512mb vram with shader model 4.0 or higher),видео карта,nvidia geforce gtx 470 or amd radeon hd 5850 (1024mb vram with shader model 5.0)
диск,30 gb,диск,30 gb
звукова€ карта,directx compatible sound card with latest drivers,звукова€ карта,directx compatible sound card with latest drivers
,,,
windows_min_Vietcong,windows_min_Vietcong,windows_req_Vietcong,windows_req_Vietcong
операционна€ система,windows 7/8/10,операционна€ система,windows 7/8/10
процессор,intel dual-core 2.1 ghz,процессор,quad core
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,1gb of vram shader model 3.0 and above,видео карта,2gb of vram shader model 3.0 and above
directx,version 10,directx,Ч
диск,5 gb,диск,7 gb
,,,
windows_min_Shieldmaiden,windows_min_Shieldmaiden,windows_req_Shieldmaiden,windows_req_Shieldmaiden
операционна€ система,windows 7 or higher,операционна€ система,windows 10
процессор,intel pentium 4 3.00 ghz or amd athlon 64 3000+ @ 1.8 ghz.,процессор,"intel core 2 duo, 2.0ghz ou amd athlon64 x2 3800+ 2.0ghz"
оперативна€ пам€ть,2000 mb,оперативна€ пам€ть,2000 mb
видео карта,radeon x600 xt ou geforce 6800 gt,видео карта,compatvel com directx9.0c e shader model 3.0 ou superior. (256mb)
directx,version 10,directx,version 12
,,,
windows_min_Locked Fears,windows_min_Locked Fears,windows_req_Locked Fears,windows_req_Locked Fears
операционна€ система,windows vista,операционна€ система,windows 7
процессор,intel core i3 / amd a6 cpu .,процессор,intel core i5 / amd fx cpu .
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,nvidia geforce 200 / amd radeon hd 5000.,видео карта,nvidia geforce 400 / amd radeon hd 6000
,,,
windows_min_False Front,windows_min_False Front
операционна€ система,"windows 7, windows 8, windows 10"
процессор,intel core i5 5200u 2.2ghz
оперативна€ пам€ть,2500 mb
видео карта,1500 mb
directx,version 11
,
windows_min_DREAM GIRLS VR,windows_min_DREAM GIRLS VR
операционна€ система,requires a and operating system
процессор,intel core i5-4590 ()
оперативна€ пам€ть,8 gb
видео карта,geforce gtx 970 ()
,
windows_min_Greedy Guns,windows_min_Greedy Guns,macos_min_Greedy Guns,macos_min_Greedy Guns,linux_min_Greedy Guns,linux_min_Greedy Guns
