видео карта,"nvidia gt 630 / 650m, amd radeon hd6570",видео карта,"nvidia gtx 660, radeon r9-270"
directx,version 9.0,directx,version 11
,,,
windows_min_Boltcraft,windows_min_Boltcraft
операционная система,windows 7
процессор,intel dual core or amd 2.8 ghz
оперативная память,4 gb
,
windows_min_Powerjackers - VR Superhero Battle Royale,windows_min_Powerjackers - VR Superhero Battle Royale
операционная система,windows 10
процессор,intel(r) core(tm) i7-3770k cpu
оперативная память,16 gb
видео карта,nvidia geforce rtx 2060
directx,version 12
сеть,широкополосное подключение
,
windows_min_Gorilla Soccer,windows_min_Gorilla Soccer,windows_req_Gorilla Soccer,windows_req_Gorilla Soccer
операционная система,windows10,операционная система,—
процессор,intel core i5-4590 / amd fx 8350,процессор,—
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 970 / amd radeon r9 290,видео карта,—
диск,2 gb,диск,—
,,,
windows_min_The Questing,windows_min_The Questing,windows_req_The Questing,windows_req_The Questing
операционная система,windows7/8/10,операционная система,windows7/8/10
процессор,i3,процессор,i3
оперативная память,4 gb,оперативная память,4 gb
видео карта,nvidia gtx750ti,видео карта,nvidia gtx750ti
directx,version 11,directx,version 11
диск,5 gb,диск,5 gb
,,,
windows_min_PSI Masquerade,windows_min_PSI Masquerade,windows_req_PSI Masquerade,windows_req_PSI Masquerade
операционная система,windows 10,операционная система,—
процессор,pentium iii 1.4ghz+ / pentium 4 2.0ghz+,процессор,—
оперативная память,1gb gb,оперативная память,2 gb
directx,version 9.0c,directx,—
сеть,широкополосное подключение,сеть,—
,,,
windows_min_Cowboy Girl,windows_min_Cowboy Girl,windows_req_Cowboy Girl,windows_req_Cowboy Girl
операционная система,windows 7,операционная система,windows 10
процессор,intel dual core,процессор,intel dual core
оперативная память,2 gb,оперативная память,2 gb
видео карта,intel hd graphics,видео карта,intel hd graphics
,,,
windows_min_HRS: devil game I,windows_min_HRS: devil game I,windows_req_HRS: devil game I,windows_req_HRS: devil game I
операционная система,windows 10 64bit,операционная система,windows 11
процессор,core i5,процессор,core i9
оперативная память,2 gb,оперативная память,16 gb
видео карта,hd,видео карта,4k
