оперативная память,4 gb,оперативная память,8 gb
видео карта,anything capable of running opengl 4.0 (eg. ati radeon hd 57xx or nvidia geforce 400 and higher),видео карта,anything current gen or close (eg. nvidia geforce gtx 1050)
диск,300 mb,диск,300 mb
,,,
windows_min_Freedom Fighters,windows_min_Freedom Fighters,windows_req_Freedom Fighters,windows_req_Freedom Fighters
операционная система,windows 10,операционная система,windows 10
процессор,pentium 4 1.5ghz or athlon xp equivalent,процессор,pentium 4 2.4ghz or athlon xp/ equivalent
оперативная память,4 gb,оперативная память,8 gb
видео карта,100% directx 10 compatible video card,видео карта,100% directx 10 compatible video card
directx,version 10,directx,version 10
диск,800 mb,диск,1 gb
,,,
windows_min_Penguins Arena: Sedna's World,windows_min_Penguins Arena: Sedna's World
операционная система,os x 10.10
процессор,1.5 ghz
оперативная память,512 mb
directx version,directx 9.0c or higher
видео карта,integrated or dedicated
звуковая карта,directx compatible sound card
,
windows_min_BlazeRush,windows_min_BlazeRush,windows_req_BlazeRush,windows_req_BlazeRush,macos_min_BlazeRush,macos_min_BlazeRush,macos_req_BlazeRush,macos_req_BlazeRush,linux_min_BlazeRush,linux_min_BlazeRush,linux_req_BlazeRush,linux_req_BlazeRush
операционная система,windows xp sp3,операционная система,windows 7 x64,операционная система,snow leopard (10.7.x),операционная система,snow leopard (10.8.x),операционная система,ubuntu 12.04 lts or steamos,операционная система,ubuntu 12.04 lts or steamos
процессор,2.0 ghz intel pentium-4 / amd athlon ii,процессор,2.3 ghz intel core 2 duo / amd athlon64 x2,процессор,2.0 ghz intel,процессор,2.0 ghz intel,процессор,2.0 ghz intel pentium-4 / amd athlon ii,процессор,2.0 ghz intel pentium-4 / amd athlon ii
оперативная память,1 gb,оперативная память,2 gb,видео карта,"512 mb nvidia / amd radeon / intel hd 3000, hd 4000",видео карта,1 gb nvidia geforce 650 / amd radeon hd 5750 / intel hd 4000 and newer,видео карта,"512 mb nvidia / amd radeon / intel (hd 3000, hd 4000) with support for pixel shader 3.0 (amd radeon x1000 not supported)",видео карта,1 gb nvidia geforce 650 / amd radeon hd 5750 / intel hd 4000 and newer
видео карта,"256 mb nvidia / amd radeon / intel (hd 3000, hd 4000) with support for pixel shader 3.0 (amd radeon x1000 not supported)",видео карта,512 mb nvidia geforce 650 / amd radeon hd 5750 / intel hd 4000 and newer,дополнительно,not recommended for intel integrated graphics or mac minis or early-generation macbooks,дополнительно,not recommended for intel integrated graphics or mac minis or early-generation macbooks,,,,
сеть,широкополосное подключение,сеть,широкополосное подключение,,,,,,,,
,,,,,,,,,,,
windows_min_Assassin’s Creed® Chronicles: Russia,windows_min_Assassin’s Creed® Chronicles: Russia,windows_req_Assassin’s Creed® Chronicles: Russia,windows_req_Assassin’s Creed® Chronicles: Russia
операционная система,windows 7 sp1 or windows 8 or windows 8.1 (32/64bit versions),операционная система,windows 7 sp1 or windows 8 or windows 8.1 (32/64bit versions)
процессор,intel core 2 duo e8200 @ 2.6 ghz or amd athlon ii x2 240 @ 2.8 ghz,процессор,intel core i3 2105 @ 3.1 ghz or amd phenom ii x4 955 @ 3.2 ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce gts450 or amd radeon hd5770 (1024mb vram with shader model 5.0),видео карта,nvidia geforce gtx 470 or amd radeon hd5870 (1024mb vram with shader model 5.0)
directx,version 10,directx,version 10
диск,4 gb,диск,4 gb
звуковая карта,directx compatible sound card with latest drivers,звуковая карта,directx compatible sound card with latest drivers
,,,
windows_min_Ring of Elysium,windows_min_Ring of Elysium,windows_req_Ring of Elysium,windows_req_Ring of Elysium
