windows_min_Skul: The Hero Slayer,windows_min_Skul: The Hero Slayer,windows_req_Skul: The Hero Slayer,windows_req_Skul: The Hero Slayer,macos_min_Skul: The Hero Slayer,macos_min_Skul: The Hero Slayer,macos_req_Skul: The Hero Slayer,macos_req_Skul: The Hero Slayer,linux_min_Skul: The Hero Slayer,linux_min_Skul: The Hero Slayer,linux_req_Skul: The Hero Slayer,linux_req_Skul: The Hero Slayer
процессор,ryzen 3 1300x /i5 6600k,процессор,ryzen 7 2700x / i7-7700
оперативная память,8 gb,оперативная память,16 gb
видео карта,radeon hd 7850 / geforce gtx 660,видео карта,radeon rx 480 (non-vr/minimum vr) or radeon rx 570 (recommended vr)/geforce gtx 1060(non-vr/minimum vr) or geforce gtx 1070 (recommended vr)
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_PAYDAY™ The Heist,windows_min_PAYDAY™ The Heist,windows_req_PAYDAY™ The Heist,windows_req_PAYDAY™ The Heist
операционная система,"windows xp, vista, 7",операционная система,"windows xp, vista, 7"
процессор,p4 3 ghz or athlon 3400+,процессор,core 2 duo or athlon x2
оперативная память,1 gb,оперативная память,2 gb
,,,
windows_min_Deus Ex: Human Revolution - Director's Cut,windows_min_Deus Ex: Human Revolution - Director's Cut,windows_req_Deus Ex: Human Revolution - Director's Cut,windows_req_Deus Ex: Human Revolution - Director's Cut
операционная система,10.8.5,операционная система,10.9.2
процессор,2.0ghz,процессор,2.4ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,512mb,видео карта,1gb
directx,version 9.0c,directx,version 9.0c
диск,25 gb,диск,25 gb
звуковая карта,100% directx 9.0c compatible sound device,звуковая карта,100% directx 9.0c compatible sound device
,,,
windows_min_Dragon's Dogma: Dark Arisen,windows_min_Dragon's Dogma: Dark Arisen,windows_req_Dragon's Dogma: Dark Arisen,windows_req_Dragon's Dogma: Dark Arisen
операционная система,windows vista (32 or ),операционная система,windows 7/8/10
процессор,intel core i5 660 cpu,процессор,intel core i7-4770k
оперативная память,4 gb,оперативная память,8 gb
видео карта,radeon hd 5870,видео карта,nvidia geforce gtx 760
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,20 gb,диск,20 gb
звуковая карта,directx-compatible sound card or onboard audio chip,звуковая карта,directx-compatible sound card or onboard audio chip
,,,
windows_min_Grand Theft Auto: Vice City,windows_min_Grand Theft Auto: Vice City
операционная система,microsoft windows 2000/xp
процессор,intel pentium iv or amd athlon xp 256(+) mb of
оперативная память,1.55 gb of free hard disk space(+ 635 mb if video card does not support directx texture compression)
видео карта,"64(+) mb video card with directx 9.0 compatible drivers (""geforce 3"" / ""radeon 8500""; with directx texture compression support)"
directx,microsoft directx 9.0
диск,915 mb of free hard disk space (+ 635 mb if video card does not support directx texture compression)
,
windows_min_SUPERHOT,windows_min_SUPERHOT,windows_req_SUPERHOT,windows_req_SUPERHOT
операционная система,os x 10.9,операционная система,—
процессор,intel core i5,процессор,—
оперативная память,8 gb,оперативная память,—
видео карта,graphics card with 1024 mb,видео карта,—
,,,
windows_min_Borderlands Game of the Year,windows_min_Borderlands Game of the Year
операционная система,windows xp/vista
процессор,2.4 ghz with sse2 support
оперативная память,1gb system (2gb recommended with vista)
видео карта,256mb video (geforce 7 series or higher/radeon hd3000 series or higher)
диск,8 gb or more free space
,
windows_min_METAL GEAR RISING: REVENGEANCE,windows_min_METAL GEAR RISING: REVENGEANCE,windows_req_METAL GEAR RISING: REVENGEANCE,windows_req_METAL GEAR RISING: REVENGEANCE
операционная система,mac os x mavericks 10.9.2 or higher,операционная система,mac os x mavericks 10.9.4 or higher
процессор,intel core i series,процессор,intel core i series
оперативная память,4 gb,оперативная память,8 gb
видео карта,amd hd4870 / nvidia 650m / intel iris graphics,видео карта,nvidia 750m
directx,version 9.0c,directx,version 9.0c
диск,27 gb,диск,27 gb
,,,
windows_min_Crypt of the NecroDancer,windows_min_Crypt of the NecroDancer,macos_min_Crypt of the NecroDancer,macos_min_Crypt of the NecroDancer,linux_min_Crypt of the NecroDancer,linux_min_Crypt of the NecroDancer,linux_req_Crypt of the NecroDancer,linux_req_Crypt of the NecroDancer
операционная система,"windows xp, service pack 3",операционная система,"minimum 10.6 to run the game, 10.7 if you also want to use your own music files",операционная система,steam os and ubuntu 12.04 are the only supported linux oses,операционная система,—
процессор,2ghz,процессор,2ghz,процессор,2ghz,процессор,—
оперативная память,1000 mb,оперативная память,1000 mb,оперативная память,1000 mb,оперативная память,1500 mb
видео карта,512mb vram,видео карта,512mb vram,видео карта,512mb vram,видео карта,—
,,,,,,,
