видео карта,"opengl compatible. ati, nvidia or intel hd. older intel graphics cards may have slowdown issues.",видео карта,"opengl compatible. ati, nvidia or intel hd. older intel graphics cards may have slowdown issues.",видео карта,opengl,видео карта,opengl,видео карта,"opengl compatible. ati, nvidia or intel hd. older intel graphics cards may have slowdown issues.",видео карта,"opengl compatible. ati, nvidia or intel hd. older intel graphics cards may have slowdown issues."
directx,version 9.0,directx,version 9.0,диск,512 mb,диск,512 mb,диск,512 mb,диск,512 mb
диск,512 mb,диск,512 mb,,,,,звуковая карта,openal compatible sound card,звуковая карта,openal compatible sound card
,,,,,,,,,,,
windows_min_Masked Forces: Zombie Survival,windows_min_Masked Forces: Zombie Survival
операционная система,macos x 10.6.6 or higher
процессор,intel core duo (2ghz )
оперативная память,2 gb
видео карта,ati radeon hd 2400 / nvidia 8600m
directx,version 9.0c
,
windows_min_JYDGE,windows_min_JYDGE,macos_min_JYDGE,macos_min_JYDGE,linux_min_JYDGE,linux_min_JYDGE
операционная система,windows xp / vista / 7 / 8 / 10,операционная система,os x 10.8+ recommended,операционная система,ubuntu 16.04 or steamos
процессор,2 ghz,процессор,2 ghz,процессор,2 ghz
оперативная память,2048 mb,оперативная память,2048 mb,оперативная память,2048 mb
видео карта,sm 3.0+,видео карта,sm 3.0+,видео карта,sm 3.0+
directx,version 9.0c,диск,395 mb,диск,395 mb
,,,,,
windows_min_Star Shelter,windows_min_Star Shelter
операционная система,"windows 7 sp1, windows 8.1 or windows 10"
процессор,"intel i5-4590, amd fx 8350 equivalent"
оперативная память,8 gb gb
видео карта,"nvidia geforce gtx 970, amd radeon™ rx 480 equivalent, video output: hdmi 1.4, displayport 1.2"
,
windows_min_Smashbox Arena,windows_min_Smashbox Arena
операционная система,"windows 7 sp1, windows 8.1, windows 10"
процессор,cpu: intel i5-4590 equivalent
оперативная память,4 gb
видео карта,"nvidia geforce gtx 970, amd radeon r9 290 equivalent"
диск,3 gb
звуковая карта,n/a
,
windows_min_Volume,windows_min_Volume
операционная система,os x 10.10.3
процессор,1.4ghz
оперативная память,4 gb
видео карта,1.5gb
directx,version 10
,
windows_min_Tales From Space: Mutant Blobs Attack,windows_min_Tales From Space: Mutant Blobs Attack,macos_min_Tales From Space: Mutant Blobs Attack,macos_min_Tales From Space: Mutant Blobs Attack,linux_min_Tales From Space: Mutant Blobs Attack,linux_min_Tales From Space: Mutant Blobs Attack
операционная система,"windows xp, vista, win7",операционная система,os x 10.7 - macos 10.14 (macos 10.15+ not supported),операционная система,ubuntu 12.04 lts
процессор,2ghz+,процессор,2ghz+,процессор,pentium 3 2.0 ghz
оперативная память,512 mb,оперативная память,512 mb,оперативная память,512 mb
видео карта,">= 256 mb, shader model 3.0",видео карта,">= 256 mb vram, opengl 2.1+, glsl 1.2+",видео карта,">= 256 mb vram, opengl 2.1+, glsl 1.2+"
directx,9.0c,диск,300 mb hd space,диск,300 mb hd space
диск,300 mb hd space,additional,supports xbox 360 controller and other sdl-compatible controllers. os with 32-bit application support required.,additional,linux requires 32-bit compatibility libraries. supports xbox 360 controller and other sdl compatible controllers.
,,,,,
windows_min_The Mummy Demastered,windows_min_The Mummy Demastered,windows_req_The Mummy Demastered,windows_req_The Mummy Demastered
операционная система,windows 7 sp1,операционная система,windows8 or windows10
процессор,intel core 2 quad @2.33 ghz,процессор,amd phenom(tm) ii x6 1035t @ 2.6ghz / intel(r) core(tm)2 quad cpu q6600 @ 2.4ghz or higher
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gts 450 or ati radeon hd 5700 series or higher,видео карта,amd radeon hd 7800 series / nvidia geforce gtx 460 or higher
directx,version 11,directx,version 11
,,,
windows_min_Squirbs,windows_min_Squirbs,windows_req_Squirbs,windows_req_Squirbs
операционная система,"windows 7, 8 or 10",операционная система,"windows 7, 8 or 10"
процессор,intel core series cpu,процессор,intel core series cpu
оперативная память,1 gb,оперативная память,4 gb
видео карта,intel hd+,видео карта,nvidia gtx 950 / amd r7 250
directx,version 9.0,directx,version 9.0
,,,
windows_min_10 Second Ninja,windows_min_10 Second Ninja
операционная система,osx 10.6
процессор,intel core 2 duo e6300 (2 * 1860)
оперативная память,2 gb
видео карта,geforce 8600m / radeonhd 2600 (128mb)
directx,version 9.0c
диск,100 mb
,
windows_min_QP Shooting - Dangerous!!,windows_min_QP Shooting - Dangerous!!
операционная система,windows xp/vista/7/8
процессор,intel cpu 2.0ghz or faster
оперативная память,1024 mb
видео карта,directx 9 or above compatible card with 256mb vram or more (radeon or geforce recommended)
directx,version 9.0
диск,1 gb
,
windows_min_Wrestling Revolution 3D,windows_min_Wrestling Revolution 3D,windows_req_Wrestling Revolution 3D,windows_req_Wrestling Revolution 3D
операционная система,10.7,операционная система,10.10
процессор,intel core 2 duo,процессор,1.4 ghz intel core i5
оперативная память,2 gb,оперативная память,4 gb
диск,100 mb,диск,200 mb
,,,
windows_min_Grey Cubes,windows_min_Grey Cubes,macos_min_Grey Cubes,macos_min_Grey Cubes,linux_min_Grey Cubes,linux_min_Grey Cubes
операционная система,windows xp/vista/7/8,операционная система,mac os x 10.7+,операционная система,ubuntu 10.10+
процессор,2 ghz dual core,процессор,2 ghz dual core,процессор,2 ghz dual core
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,graphics card supporting directx 9.0c and shader model 3.0,видео карта,graphics card supporting directx 9.0c and shader model 3.0,видео карта,graphics card supporting directx 9.0c and shader model 3.0
directx,version 9.0c,диск,200 mb,диск,200 mb
диск,200 mb,звуковая карта,any,звуковая карта,any
,,,,,
windows_min_Reflex,windows_min_Reflex,windows_req_Reflex,windows_req_Reflex
операционная система,windows xp sp2,операционная система,windows 7
процессор,pentium 4 1.5 ghz / athlon xp,процессор,pentium 4 1.5 ghz / athlon xp
оперативная память,100 mb,оперативная память,250 mb
видео карта,geforce 210 590mhz,видео карта,geforce 210 590mhz
directx,version 5.2,directx,version 6.0
,,,
