видео карта,nvidia geforce gtx 550 (1gb),видео карта,sm4 1gb vramnvidia gefore gtx 760 (direct x 11 graphics card)
directx,version 9.0c,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,4 gb,диск,8 gb
звуковая карта,directx 9.0c compatible sound card,звуковая карта,directx 9.0c compatible sound card
,,,
windows_min_Three Heroes,windows_min_Three Heroes
операционная система,"windows xp, 7, 8.1, 10"
процессор,"pentium iv, athlon xp"
оперативная память,512 mb
видео карта,directx 9 support video card
directx,version 9.0c
,
windows_min_Crash Drive 2,windows_min_Crash Drive 2
операционная система,mac os 10.7.5+
процессор,2 ghz dual core
оперативная память,2 gb
directx,version 9.0
,
windows_min_Viking: Battle for Asgard,windows_min_Viking: Battle for Asgard,windows_req_Viking: Battle for Asgard,windows_req_Viking: Battle for Asgard
операционная система,"windows xp service pack 2, windows vista, windows 7",операционная система,"windows xp service pack 2, windows vista, windows 7"
процессор,intel core 2 duo 2.2 ghz or amd athlon™ 64 x2 3800,процессор,intel core 2 duo 2.6 ghz or amd athlon 64 x2 4400
оперативная память,2 gb,оперативная память,4 gb
видео карта,"geforce 8600 gs, radeon 3400",видео карта,"geforce 9400 gt, radeon 4350"
directx,9.0c,directx,9.0c
диск,6 gb hd space,диск,6 gb hd space
звуковая карта,direct x 9.0c compatible sound card and drivers,звуковая карта,direct x 9.0c compatible sound card and drivers
,,,
windows_min_Steven Universe: Save the Light,windows_min_Steven Universe: Save the Light,windows_req_Steven Universe: Save the Light,windows_req_Steven Universe: Save the Light
операционная система,os x 10.11: el capitan,операционная система,macos 10.13: high sierra
процессор,1.3ghz dual-core intel core i5,процессор,3.1ghz or 3.3ghz dual-core intel core i5
оперативная память,8 gb,оперативная память,8 gb
видео карта,intel hd graphics 615,видео карта,intel iris plus graphics 650
диск,9 gb,диск,9 gb
,,,
windows_min_The MISSING: J.J. Macfield and the Island of Memories,windows_min_The MISSING: J.J. Macfield and the Island of Memories,windows_req_The MISSING: J.J. Macfield and the Island of Memories,windows_req_The MISSING: J.J. Macfield and the Island of Memories
операционная система,windows 7 / 8.1 / 10 ( os),операционная система,windows 10 ( os)
процессор,intel core i-5 @ 2.4ghz,процессор,intel core i-7 @ 3.4ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel hd graphics 520,видео карта,nvidia geforce gtx 1070
directx,version 11,directx,version 11
диск,6 gb,диск,6 gb
,,,
windows_min_Space Beast Terror Fright,windows_min_Space Beast Terror Fright
операционная система,windows 7
процессор,intel core 2 duo t9600 2.8 ghz
оперативная память,2 gb
видео карта,directx 9.0c compliant (shader model 2) gpu
directx,version 9.0c
диск,200 mb
,
windows_min_Nostos,windows_min_Nostos,windows_req_Nostos,windows_req_Nostos
операционная система,windows 7/8.1/10,операционная система,windows 7/8.1/10
процессор,intel core i5 4590 or amd fx-8350,процессор,intel core i7-6700k or amd ryzen 5 1600x
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 1060 / amd rx 480,видео карта,nvidia geforce gtx 1080 / amd rx vega 64
